OBJECTID,Prov_ID,Prov_Name,Dist_ID,District,Shape__Area,Shape__Length
1,1,Kigali City,11,Nyarugenge,0.010767736,0.924373947
2,1,Kigali City,12,Gasabo,0.034891979,1.009039358
3,1,Kigali City,13,Kicukiro,0.013576898,0.767634328
4,2,Southern Province,21,Nyanza,0.054629393,1.605055923
5,2,Southern Province,22,Gisagara,0.055309227,1.355510646
6,2,Southern Province,23,Nyaruguru,0.082237291,1.728657104
7,2,Southern Province,24,Huye,0.047251173,1.195712175
8,2,Southern Province,25,Nyamagabe,0.088712685,1.86787211
9,2,Southern Province,26,Ruhango,0.050887203,1.51259396
10,2,Southern Province,27,Muhanga,0.052561168,1.609647499
11,2,Southern Province,28,Kamonyi,0.053637101,1.44674468
12,3,Western Province,31,Karongi,0.080408258,1.802019415
13,3,Western Province,32,Rutsiro,0.094359596,1.839326514
14,3,Western Province,33,Rubavu,0.03139088,1.037388048
15,3,Western Province,34,Nyabihu,0.043706243,1.180073415
16,3,Western Province,35,Ngororero,0.054986876,1.620912702
17,3,Western Province,36,Rusizi,0.078083541,2.342771475
30,3,Western Province,37,Nyamasheke,0.095228988,1.68136497
18,4,Northern Province,41,Rulindo,0.046110012,1.433871122
19,4,Northern Province,42,Gakenke,0.057212782,1.313938036
20,4,Northern Province,43,Musanze,0.042862252,1.058992642
21,4,Northern Province,44,Burera,0.05243675,1.478669121
22,4,Northern Province,45,Gicumbi,0.067340938,1.854588839
23,5,Eastern Province,51,Rwamagana,0.05533602,1.221792782
24,5,Eastern Province,52,Nyagatare,0.155870674,2.501446801
25,5,Eastern Province,53,Gatsibo,0.128754236,2.252511563
26,5,Eastern Province,54,Kayonza,0.157030787,1.860680297
27,5,Eastern Province,55,Kirehe,0.096643009,1.751626424
28,5,Eastern Province,56,Ngoma,0.070613265,1.521355532
29,5,Eastern Province,57,Bugesera,0.105156803,1.887901825
