Year,Age Group,Region,Level of Proficiency,Value,,,,,
2016-17,15 years and above,National,Literacy,73.2,,,,,
2016-17,15 years and above,Urban,Literacy,86.9,,,,,
2016-17,15 years and above,Rural,Literacy,69.7,,,,,
2016-17,15-24,National,Literacy,86.5,,,,,
2016-17,15-24,Urban,Literacy,92,,,,,
2016-17,15-24,Rural,Literacy,84.9,,,,,
2016-17,15 years and above,National,Numeracy,73.5,,,,,
2016-17,15 years and above,Urban,Numeracy,87.6,,,,,
2016-17,15 years and above,Rural,Numeracy,69.7,,,,,
2016-17,15-24,National,Numeracy,86.7,,,,,
2016-17,15-24,Urban,Numeracy,92.5,,,,,
2016-17,15-24,Rural,Numeracy,85.1,,,,,
